STT,Tên,Repo,Sao,License,Loại license,Mô tả,Nhóm,Kết luận,Lý do (tự động),Độ tin,Link
110,openMVS,cdcseacave/openMVS,4060,AGPL-3.0,Copyleft,open Multi-View Stereo reconstruction library,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/cdcseacave/openMVS
111,openai-fm,openai/openai-fm,2877,MIT,Mở,"Code for openai.fm, a demo for the OpenAI Speech API",C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/openai/openai-fm
112,Custom_OpenClash_Rules,Aethersailor/Custom_OpenClash_Rules,6189,CC-BY-SA-4.0,Khác,"A comprehensive OpenClash subscription conversion template and a well-designed OpenClash configuration example that deliver precise traffic routing, DNS with no poisoning or leaks, and fast access to ",C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/Aethersailor/Custom_OpenClash_Rules
113,open,diffusionkinetics/open,116,MIT,Mở,DiffusionKinetics open-source monorepo,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/diffusionkinetics/open
114,OpenSign,OpenSignLabs/OpenSign,6679,NOASSERTION,Không rõ,🔥 The free & Open Source DocuSign alternative,A,Dựng cho CEO,"Ký điện tử thay DocuSign, Docker, AGPL (đã kiểm)",Cao,https://github.com/OpenSignLabs/OpenSign
115,openalpr,openalpr/openalpr,11433,AGPL-3.0,Copyleft,Automatic License Plate Recognition library,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/openalpr/openalpr
116,open-source-ios-apps,dkhamsing/open-source-ios-apps,51314,CC0-1.0,Khác,:iphone: Collaborative List of Open-Source iOS Apps,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/dkhamsing/open-source-ios-apps
117,OpenTLD,zk00006/OpenTLD,2100,GPL-3.0,Copyleft,OpenTLD is an open source library for real-time 2D tracking of a single object in video. This repository is no longer under development. For latest version see: http://www.tldvision.com/tld2.html,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/zk00006/OpenTLD
118,grok-1,xai-org/grok-1,51990,Apache-2.0,Mở,Grok open release,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/xai-org/grok-1
119,OpenMQTTGateway,1technophile/OpenMQTTGateway,4062,GPL-3.0,Copyleft,"MQTT gateway for ESP8266 or ESP32 with bidirectional 433mhz/315mhz/868mhz, Infrared communications, BLE, Bluetooth, beacons detection, mi flora, mi jia, LYWSD02, LYWSD03MMC, Mi Scale, TPMS, BBQ thermo",C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/1technophile/OpenMQTTGateway
120,opentelemetry-demo,open-telemetry/opentelemetry-demo,3220,Apache-2.0,Mở,"This repository contains the OpenTelemetry Astronomy Shop, a microservice-based distributed system intended to illustrate the implementation of OpenTelemetry in a near real-world environment.",C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/open-telemetry/opentelemetry-demo
121,opendataloader-pdf,opendataloader-project/opendataloader-pdf,27519,Apache-2.0,Mở,PDF Parser for AI-ready data. Automate PDF accessibility. Open-source.,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/opendataloader-project/opendataloader-pdf
122,openvpn-install,angristan/openvpn-install,16052,MIT,Mở,"Set up your own OpenVPN server on Debian, Ubuntu, Fedora, CentOS, Arch Linux and more",A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/angristan/openvpn-install
123,openai-agents-python,openai/openai-agents-python,28042,MIT,Mở,"A lightweight, powerful framework for multi-agent workflows",C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/openai/openai-agents-python
124,openpi,Physical-Intelligence/openpi,12884,Apache-2.0,Mở,,C,Không đẩy VPS,Không mô tả / không rõ là ứng dụng,Thấp,https://github.com/Physical-Intelligence/openpi
125,openedx-platform,openedx/openedx-platform,8145,AGPL-3.0,Copyleft,"The Open edX LMS & Studio, powering education sites around the world!",A,Dựng cho CEO,"Web-app + copyleft (per-tenant OK, không giấu mã)",Vừa,https://github.com/openedx/openedx-platform
126,openai-gemini,PublicAffairs/openai-gemini,3602,MIT,Mở,✦ Gemini ➜ OpenAI API proxy. Serverless!,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/PublicAffairs/openai-gemini
127,anyRTC-RTMP-OpenSource,anyrtcIO-Community/anyRTC-RTMP-OpenSource,4907,GPL-3.0,Copyleft,"RTMP 推流器，RTMP(HLS)秒开播放器，直播点播，跨平台（Win,IOS,Android）开源代码",A,Dựng cho CEO,"Web-app + copyleft (per-tenant OK, không giấu mã)",Vừa,https://github.com/anyrtcIO-Community/anyRTC-RTMP-OpenSource
128,openemr,openemr/openemr,5301,GPL-3.0,Copyleft,The most popular open source electronic health records and medical practice management solution.,A,Dựng cho CEO,"Web-app + copyleft (per-tenant OK, không giấu mã)",Vừa,https://github.com/openemr/openemr
129,OpenROAD,The-OpenROAD-Project/OpenROAD,2865,BSD-3-Clause,Mở,OpenROAD's unified application implementing an RTL-to-GDS Flow. Documentation at https://openroad.readthedocs.io/en/latest/,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/The-OpenROAD-Project/OpenROAD
130,Open-Generative-AI,Anil-matcha/Open-Generative-AI,24104,MIT,Mở,"Unrestricted Open-source alternative to AI video platforms — Free AI image & video generation studio with 200+ models (Flux, Midjourney, Kling, Sora, Veo). No content filters. Self-hosted, MIT license",A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/Anil-matcha/Open-Generative-AI
131,Open-AutoGLM,zai-org/Open-AutoGLM,25827,Apache-2.0,Mở,An Open Phone Agent Model & Framework. Unlocking the AI Phone for Everyone,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/zai-org/Open-AutoGLM
132,openwork,different-ai/openwork,17001,NOASSERTION,Không rõ,The open-source alternative to Claude Cowork (powered by opencode),B,Lưu ý license,Web-app nhưng license không rõ — kiểm tay,Thấp,https://github.com/different-ai/openwork
133,open_file,crazecoder/open_file,271,BSD-3-Clause,Mở,"A plug-in that can call native APP to open files with string result in flutter, support iOS(UTI) / android(intent) / PC(ffi) / web(dart:html)",A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/crazecoder/open_file
134,OpenCourseCatalog,elder-frog/OpenCourseCatalog,8862,GPL-3.0,Copyleft,Bilibili 公开课目录,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/elder-frog/OpenCourseCatalog
135,open_clip,mlfoundations/open_clip,14006,NOASSERTION,Không rõ,An open source implementation of CLIP.,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/mlfoundations/open_clip
136,opentofu,opentofu/opentofu,29504,MPL-2.0,Mở,OpenTofu lets you declaratively manage your cloud infrastructure.,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/opentofu/opentofu
137,OpenFrontIO,openfrontio/OpenFrontIO,2400,AGPL-3.0,Copyleft,Online browser-based RTS game,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/openfrontio/OpenFrontIO
138,OpenSC,OpenSC/OpenSC,3055,LGPL-2.1,Copyleft,Open source smart card tools and middleware. PKCS#11/MiniDriver,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/OpenSC/OpenSC
139,openj9,eclipse-openj9/openj9,3533,NOASSERTION,Không rõ,"Eclipse OpenJ9: A Java Virtual Machine for OpenJDK that's optimized for small footprint, fast start-up, and high throughput.   Builds on Eclipse OMR (https://github.com/eclipse/omr) and combines with ",?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/eclipse-openj9/openj9
140,OpenTripPlanner,opentripplanner/OpenTripPlanner,2697,NOASSERTION,Không rõ,An open source multi-modal trip planner,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/opentripplanner/OpenTripPlanner
141,OpenSearch-Dashboards,opensearch-project/OpenSearch-Dashboards,2097,Apache-2.0,Mở,📊 Open source visualization dashboards for OpenSearch.,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/opensearch-project/OpenSearch-Dashboards
142,OpenPDF,LibrePDF/OpenPDF,4321,NOASSERTION,Không rõ,"OpenPDF is an open-source Java library for creating, editing, rendering, and encrypting PDF documents, as well as generating PDFs from HTML. It is licensed under the LGPL and MPL.",C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/LibrePDF/OpenPDF
143,OpenChat,opencx-labs/OpenChat,5239,MIT,Mở,LLMs custom-chatbots console ⚡,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/opencx-labs/OpenChat
144,opencv4nodejs,justadudewhohacks/opencv4nodejs,5047,MIT,Mở,Nodejs bindings to OpenCV 3 and OpenCV 4,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/justadudewhohacks/opencv4nodejs
145,OpenPromptStudio,Moonvy/OpenPromptStudio,6630,—,Không rõ,🥣 AIGC 提示词可视化编辑器  | OPS | Open Prompt Studio,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/Moonvy/OpenPromptStudio
146,openresty,openresty/openresty,13954,NOASSERTION,Không rõ,High Performance Web Platform Based on Nginx and LuaJIT,B,Lưu ý license,Web-app nhưng license không rõ — kiểm tay,Thấp,https://github.com/openresty/openresty
147,OpenSID,OpenSID/OpenSID,1213,NOASSERTION,Không rõ,Sistem Informasi Desa (SID) yang sengaja dibuat terbuka agar dapat dikembangkan secara bersama-sama oleh komunitas peduli SID,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/OpenSID/OpenSID
148,opencode,opencode-ai/opencode,13482,MIT,Mở,A powerful AI coding agent. Built for the terminal.,A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/opencode-ai/opencode
149,open5gs,open5gs/open5gs,2641,AGPL-3.0,Copyleft,"Open5GS is a C-language Open Source implementation for 5G Core and EPC, i.e. the core network of LTE/NR network (Release-19)",?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/open5gs/open5gs
150,OpenSfM,mapillary/OpenSfM,3789,BSD-2-Clause,Mở,Open source Structure-from-Motion pipeline,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/mapillary/OpenSfM
151,Win32-OpenSSH,PowerShell/Win32-OpenSSH,8205,—,Không rõ,Win32 port of OpenSSH,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/PowerShell/Win32-OpenSSH
152,openwrt-passwall,Openwrt-Passwall/openwrt-passwall,9798,GPL-3.0,Copyleft,,C,Không đẩy VPS,Không mô tả / không rõ là ứng dụng,Thấp,https://github.com/Openwrt-Passwall/openwrt-passwall
153,open,mapzen/open,65,GPL-3.0,Copyleft,Demo app using Mapzen SDKs,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/mapzen/open
154,opensourcepos,opensourcepos/opensourcepos,4297,NOASSERTION,Không rõ,Open Source Point of Sale is a web based point of sale application written in PHP using CodeIgniter framework. It uses MySQL as the data back end and has a Bootstrap 3 based user interface. If you lik,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/opensourcepos/opensourcepos
155,open-source-cs,ForrestKnight/open-source-cs,23671,MIT,Mở,Video discussing this curriculum:,A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/ForrestKnight/open-source-cs
156,open-swe,langchain-ai/open-swe,10364,MIT,Mở,An Open-Source Asynchronous Coding Agent,A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/langchain-ai/open-swe
157,OpenCV-Python-Tutorial,makelove/OpenCV-Python-Tutorial,3437,MIT,Mở,OpenCV问答群不再维护。有问题，自己去搜索。Google能找到大部分答案。,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/makelove/OpenCV-Python-Tutorial
158,awesome-openclaw-usecases,hesamsheikh/awesome-openclaw-usecases,31532,MIT,Mở,A community collection of OpenClaw use cases for making life easier.,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/hesamsheikh/awesome-openclaw-usecases
159,openscad,openscad/openscad,9777,NOASSERTION,Không rõ,OpenSCAD - The Programmers Solid 3D CAD Modeller,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/openscad/openscad
160,openmct,nasa/openmct,13053,NOASSERTION,Không rõ,A web based mission control framework.,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/nasa/openmct
161,openlibrary,internetarchive/openlibrary,6565,AGPL-3.0,Copyleft,One webpage for every book ever published!,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/internetarchive/openlibrary
162,OpenBot,ob-f/OpenBot,3350,MIT,Mở,OpenBot leverages smartphones as brains for low-cost robots. We have designed a small electric vehicle that costs about $50 and serves as a robot body. Our software stack for Android smartphones suppo,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/ob-f/OpenBot
163,open-llms,eugeneyan/open-llms,12836,Apache-2.0,Mở,📋 A list of open LLMs available for commercial use.,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/eugeneyan/open-llms
164,OpenSwarm,VRSEN/OpenSwarm,2818,MIT,Mở,Claude code for everything except coding,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/VRSEN/OpenSwarm
165,OpenAgents,xlang-ai/OpenAgents,4848,Apache-2.0,Mở,[COLM 2024] OpenAgents: An Open Platform for Language Agents in the Wild,A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/xlang-ai/OpenAgents
166,OpenGL,McNopper/OpenGL,2598,MIT,Mở,OpenGL 3 and 4 examples using GLSL,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/McNopper/OpenGL
167,openage,SFTtech/openage,14325,NOASSERTION,Không rõ,Clone of the Age of Empires II engine 🚀,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/SFTtech/openage
168,OpenClaw-RL,Gen-Verse/OpenClaw-RL,5588,Apache-2.0,Mở,OpenClaw-RL: Train any agent simply by talking,A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/Gen-Verse/OpenClaw-RL
169,OpenJK,JACoders/OpenJK,2273,GPL-2.0,Copyleft,Community effort to maintain and improve Jedi Academy (SP & MP) + Jedi Outcast (SP only) released by Raven Software,A,Dựng cho CEO,"Web-app + copyleft (per-tenant OK, không giấu mã)",Vừa,https://github.com/JACoders/OpenJK
170,docker-openvpn,kylemanna/docker-openvpn,9089,MIT,Mở,🔒 OpenVPN server in a Docker container complete with an EasyRSA PKI CA,A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/kylemanna/docker-openvpn
171,open-r1,huggingface/open-r1,26410,Apache-2.0,Mở,Fully open reproduction of DeepSeek-R1,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/huggingface/open-r1
172,OpenGlass,BasedHardware/OpenGlass,4086,MIT,Mở,Turn any glasses into AI-powered smart glasses,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/BasedHardware/OpenGlass
173,opencti,OpenCTI-Platform/opencti,9701,NOASSERTION,Không rõ,Open Cyber Threat Intelligence Platform,B,Lưu ý license,Web-app nhưng license không rõ — kiểm tay,Thấp,https://github.com/OpenCTI-Platform/opencti
174,OpenUtau,openutau/OpenUtau,4101,MIT,Mở,Open singing synthesis platform / Open source UTAU successor,A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/openutau/OpenUtau
175,open-im-server,openimsdk/open-im-server,16535,Apache-2.0,Mở,IM Chat OpenClaw,A,Dựng cho CEO,"Chat/IM, Docker, Apache-2.0 (đã kiểm)",Cao,https://github.com/openimsdk/open-im-server
176,openwrt-packages,kenzok8/openwrt-packages,7163,—,Không rõ,openwrt常用软件包,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/kenzok8/openwrt-packages
177,open-resume,xitanggg/open-resume,8765,AGPL-3.0,Copyleft,OpenResume is a powerful open-source resume builder and resume parser. https://open-resume.com/,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/xitanggg/open-resume
178,OpenSubdiv,PixarAnimationStudios/OpenSubdiv,3065,NOASSERTION,Không rõ,An Open-Source subdivision surface library.,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/PixarAnimationStudios/OpenSubdiv
179,OpenPrompt,thunlp/OpenPrompt,4884,Apache-2.0,Mở,An Open-Source Framework for Prompt-Learning.,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/thunlp/OpenPrompt
180,tensorflow,tensorflow/tensorflow,196413,Apache-2.0,Mở,An Open Source Machine Learning Framework for Everyone,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/tensorflow/tensorflow
181,OpenMemory,CaviraOSS/OpenMemory,4354,Apache-2.0,Mở,"Local persistent memory store for LLM applications including claude desktop, github copilot, codex, antigravity, etc.",A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/CaviraOSS/OpenMemory
182,open,kingreatwill/open,74,MIT,Mở,Learning notes & research,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/kingreatwill/open
183,openstack,openstack/openstack,5979,Apache-2.0,Mở,Repository tracking all OpenStack repositories as submodules. Mirror of code maintained at opendev.org.,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/openstack/openstack
184,OpenWRT-CI,VIKINGYFY/OpenWRT-CI,1045,MIT,Mở,云编译OpenWRT开源固件,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/VIKINGYFY/OpenWRT-CI
185,openobserve,openobserve/openobserve,20310,AGPL-3.0,Copyleft,"Open source observability platform for logs, metrics, traces, frontend monitoring, pipelines and LLM observability. A sophisticated, simple and highly performant alternative to Datadog, Splunk, and El",A,Dựng cho CEO,"Logs/metrics, Docker, AGPL free 50GB/ngày (đã kiểm)",Cao,https://github.com/openobserve/openobserve
186,openmrs-core,openmrs/openmrs-core,1875,NOASSERTION,Không rõ,OpenMRS API and web application code,B,Lưu ý license,Web-app nhưng license không rõ — kiểm tay,Thấp,https://github.com/openmrs/openmrs-core
187,opendbc,commaai/opendbc,3278,MIT,Mở,a Python API for your car,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/commaai/opendbc
188,OpenMower,ClemensElflein/OpenMower,6614,NOASSERTION,Không rõ,"Let's upgrade cheap off-the-shelf robotic mowers to modern, smart RTK GPS based lawn mowing robots!",?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/ClemensElflein/OpenMower
189,OpenAppFilter,destan19/OpenAppFilter,2748,GPL-2.0,Copyleft,"OAF(OpenAppFilter) is a parental control software based on OpenWrt. It supports popular applications across gaming, video streaming, instant messaging, such as TikTok, YouTube, Facebook. Currently, it",A,Dựng cho CEO,"Web-app + copyleft (per-tenant OK, không giấu mã)",Vừa,https://github.com/destan19/OpenAppFilter
190,open_spiel,google-deepmind/open_spiel,5341,Apache-2.0,Mở,OpenSpiel is a collection of environments and algorithms for research in general reinforcement learning and search/planning in games.,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/google-deepmind/open_spiel
191,nanopi-openwrt,stupidloud/nanopi-openwrt,5536,—,Không rõ,Openwrt for Nanopi R1S R2S R4S R5S 香橙派 R1 Plus 固件编译 纯净版与大杂烩,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/stupidloud/nanopi-openwrt
192,LearnOpenGL,JoeyDeVries/LearnOpenGL,12541,NOASSERTION,Không rõ,Code repository of all OpenGL chapters from the book and its accompanying website https://learnopengl.com,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/JoeyDeVries/LearnOpenGL
193,OpenWrt-nikki,nikkinikki-org/OpenWrt-nikki,5043,GPL-3.0,Copyleft,Transparent Proxy with Mihomo on OpenWrt.,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/nikkinikki-org/OpenWrt-nikki
194,OpenCore-Install-Guide,dortania/OpenCore-Install-Guide,4228,NOASSERTION,Không rõ,Repo for the OpenCore Install Guide,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/dortania/OpenCore-Install-Guide
195,OpenDTU,tbnobody/OpenDTU,2162,GPL-2.0,Copyleft,Software for ESP32 to talk to Hoymiles/TSUN/Solenso Inverters,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/tbnobody/OpenDTU
196,OpenManus-RL,OpenManus/OpenManus-RL,4137,Apache-2.0,Mở,A live stream development of RL tunning for LLM agents,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/OpenManus/OpenManus-RL
197,OpenAvatarChat,HumanAIGC-Engineering/OpenAvatarChat,3632,Apache-2.0,Mở,,C,Không đẩy VPS,Không mô tả / không rõ là ứng dụng,Thấp,https://github.com/HumanAIGC-Engineering/OpenAvatarChat
198,open_nsfw,yahoo/open_nsfw,6018,BSD-2-Clause,Mở,Not Suitable for Work (NSFW) classification using deep neural network Caffe models.,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/yahoo/open_nsfw
199,opensource,programthink/opensource,5119,CC0-1.0,Khác,【编程随想】收藏的开源项目清单,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/programthink/opensource
200,OpenELEC.tv,OpenELEC/OpenELEC.tv,1616,—,Không rõ,OpenELEC - The living room PC for everyone,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/OpenELEC/OpenELEC.tv
201,openhab-addons,openhab/openhab-addons,2055,EPL-2.0,Khác,Add-ons for openHAB,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/openhab/openhab-addons
202,openwrt,Lienol/openwrt,3664,NOASSERTION,Không rõ,Lienol's Modified OpenWrt source,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/Lienol/openwrt
203,opentelemetry-collector,open-telemetry/opentelemetry-collector,7280,Apache-2.0,Mở,OpenTelemetry Collector,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/open-telemetry/opentelemetry-collector
204,azure-search-openai-demo,Azure-Samples/azure-search-openai-demo,7707,MIT,Mở,"A sample app for the Retrieval-Augmented Generation pattern running in Azure, using Azure AI Search for retrieval and Azure OpenAI large language models  to power ChatGPT-style and Q&A experiences.",C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/Azure-Samples/azure-search-openai-demo
205,opensre,Tracer-Cloud/opensre,8801,Apache-2.0,Mở,Build your own AI SRE agents. The open source toolkit for the AI era.,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/Tracer-Cloud/opensre
206,OpenAI,MacPaw/OpenAI,2927,MIT,Mở,Swift community driven package for OpenAI public API,A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/MacPaw/OpenAI
207,OpenBoard,OpenBoard-org/OpenBoard,3005,GPL-3.0,Copyleft,OpenBoard is a cross-platform interactive whiteboard application intended for use in a classroom setting.,A,Dựng cho CEO,"Web-app + copyleft (per-tenant OK, không giấu mã)",Vừa,https://github.com/OpenBoard-org/OpenBoard
208,OpenHub,ThirtyDegreesRay/OpenHub,4360,GPL-3.0,Copyleft,"An open source GitHub Android client app, faster and concise.",A,Dựng cho CEO,"Web-app + copyleft (per-tenant OK, không giấu mã)",Vừa,https://github.com/ThirtyDegreesRay/OpenHub
209,OpenUpgrade,OCA/OpenUpgrade,966,AGPL-3.0,Copyleft,Open source upgrade path for Odoo/OpenERP,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/OCA/OpenUpgrade
210,OpenXcom,OpenXcom/OpenXcom,2196,GPL-3.0,Copyleft,Open-source clone of the original X-Com 👽,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/OpenXcom/OpenXcom
211,OpenFOAM-dev,OpenFOAM/OpenFOAM-dev,2171,NOASSERTION,Không rõ,OpenFOAM Foundation development repository,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/OpenFOAM/OpenFOAM-dev
212,OpenLara,XProger/OpenLara,5039,BSD-2-Clause,Mở,Classic Tomb Raider open-source engine,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/XProger/OpenLara
213,opengles3-book,danginsburg/opengles3-book,2009,MIT,Mở,OpenGL ES 3.0 Programming Guide Sample Code,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/danginsburg/opengles3-book
214,go-openai,sashabaranov/go-openai,10718,Apache-2.0,Mở,"OpenAI ChatGPT, GPT-5, GPT-Image-1, Whisper API clients for Go",?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/sashabaranov/go-openai
215,openvr,ValveSoftware/openvr,6617,BSD-3-Clause,Mở,OpenVR SDK,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/ValveSoftware/openvr
216,OpenPano,ppwwyyxx/OpenPano,2060,MIT,Mở,Automatic Panorama Stitching From Scratch,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/ppwwyyxx/OpenPano
217,OpenImageIO,AcademySoftwareFoundation/OpenImageIO,2328,Apache-2.0,Mở,"Reading, writing, and processing images in a wide variety of file formats, using a format-agnostic API, aimed at VFX applications.",?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/AcademySoftwareFoundation/OpenImageIO
218,openhardwaremonitor,openhardwaremonitor/openhardwaremonitor,6432,—,Không rõ,Open Hardware Monitor,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/openhardwaremonitor/openhardwaremonitor
219,openai-openapi,openai/openai-openapi,2449,MIT,Mở,OpenAPI specification for the OpenAI API,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/openai/openai-openapi
220,opentelemetry-collector-contrib,open-telemetry/opentelemetry-collector-contrib,4802,Apache-2.0,Mở,Contrib repository for the OpenTelemetry Collector,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/open-telemetry/opentelemetry-collector-contrib
